date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-05-17,heartbeat,claude-opus-4-7,50,7081,339119,32128
2026-05-17,repo-pulse,claude-opus-4-7,19,6600,542052,13868
2026-05-17,repo-pulse,claude-opus-4-7,18,5078,483064,22541
2026-05-17,proxmox-capacity,claude-opus-4-7,25,11694,989246,39351
2026-05-17,proxmox-capacity,claude-opus-4-7,16,7007,497922,34590
2026-05-17,token-movers,claude-opus-4-7,42,22702,1589140,75006
2026-05-17,heartbeat,claude-opus-4-7,16,8250,507130,36864
2026-05-17,repo-pulse,claude-opus-4-7,29,4796,718033,48086
2026-05-17,proxmox-capacity,claude-opus-4-7,13,6110,350243,35861
2026-05-17,heartbeat,claude-opus-4-7,10,7183,222889,37063
2026-05-18,proxmox-capacity,claude-opus-4-7,12,4294,300477,30987
2026-05-18,proxmox-capacity,claude-opus-4-7,11,4808,253904,30954
2026-05-18,weekly-shiplog,claude-opus-4-7,61,29604,4073980,116175
2026-05-18,fleet-sweep,claude-opus-4-7,25,10343,935300,48820
2026-05-18,fleet-sweep,claude-opus-4-7,343,9802,947651,34141
2026-05-18,fleet-sweep,claude-opus-4-7,30,12766,1129488,46433
2026-05-18,fleet-sweep,claude-opus-4-7,68,27668,3143612,94768
2026-05-18,fleet-sweep,claude-opus-4-7,37,12512,1625066,47702
2026-05-18,heartbeat,claude-opus-4-7,17,10812,619025,47164
2026-05-18,fleet-sweep,claude-opus-4-7,55,17903,2095661,86616
2026-05-18,proxmox-capacity,claude-opus-4-7,18,7491,535014,36714
2026-05-18,fleet-sweep,claude-opus-4-7,50,19467,2142453,77297
2026-05-19,token-movers,claude-opus-4-7,50,35757,3029800,77806
2026-05-19,fleet-sweep,claude-opus-4-7,24,9161,791312,53684
2026-05-19,proxmox-capacity,claude-opus-4-7,38,11988,1223607,60590
2026-05-19,fleet-sweep,claude-opus-4-7,347,8502,1106253,34747
2026-05-20,proxmox-capacity,claude-opus-4-7,16,5867,413223,23825
2026-05-20,fleet-sweep,claude-opus-4-7,31,10662,663658,34382
2026-05-20,proxmox-capacity,claude-opus-4-7,31,11693,606451,31912
2026-05-20,heartbeat,claude-opus-4-7,23,16186,558606,68820
2026-05-20,fleet-sweep,claude-opus-4-7,23,7590,444498,28566
2026-05-20,proxmox-capacity,claude-opus-4-7,130,13493,929707,34726
2026-05-21,proxmox-capacity,claude-opus-4-7,27,7498,493751,44794
2026-05-21,proxmox-capacity,claude-opus-4-7,43,11797,855708,50876
2026-05-21,proxmox-capacity,claude-opus-4-7,444,7881,651563,39145
2026-05-21,heartbeat,claude-opus-4-7,15,16685,325111,70157
2026-05-21,fleet-sweep,claude-opus-4-7,45,15903,1145686,64592
2026-05-21,proxmox-capacity,claude-opus-4-7,41,10792,813147,30120
2026-05-22,fleet-sweep,claude-opus-4-7,37,14921,838354,39457
2026-05-22,proxmox-capacity,claude-opus-4-7,61,18823,1476275,48406
2026-05-22,token-movers,claude-opus-4-7,67,24282,1772925,72990
2026-05-22,heartbeat,claude-opus-4-7,1265,12146,539361,49234
2026-05-22,fleet-sweep,claude-opus-4-7,75,21417,2042375,53866
2026-05-22,fleet-sweep,claude-opus-4-7,107,55140,3733195,92762
2026-05-23,proxmox-capacity,claude-opus-4-7,41,12858,870775,55918
2026-05-23,proxmox-capacity,claude-opus-4-7,31,7743,609376,48147
2026-05-23,fleet-sweep,claude-opus-4-7,27,11107,597795,37157
2026-05-23,token-movers,claude-opus-4-7,65,35143,1937003,86768
2026-05-23,heartbeat,claude-opus-4-7,11290,10188,277235,41594
2026-05-23,repo-pulse,claude-opus-4-7,25,5918,459450,24809
2026-05-23,fleet-sweep,claude-opus-4-7,43,23597,1127239,79391
2026-05-23,fleet-sweep,claude-opus-4-7,45,17731,1161015,48408
2026-05-24,proxmox-capacity,claude-opus-4-7,61,7893,632299,49254
2026-05-24,proxmox-capacity,claude-opus-4-7,247,15683,982818,37586
2026-05-24,morning-brief,claude-opus-4-7,19,9996,446162,64852
2026-05-24,fleet-sweep,claude-opus-4-7,39,24425,1088389,57706
2026-05-24,proxmox-capacity,claude-opus-4-7,53,19911,1252454,51202
2026-05-24,hermesos-finance-risk-review,claude-opus-4-7,35,24204,1006422,72246
2026-05-24,fleet-sweep,claude-opus-4-7,29,14297,704776,45888
2026-05-24,posthog-session-analyzer,claude-opus-4-7,65,21921,2703548,109719
2026-05-24,proxmox-capacity,claude-opus-4-7,94,16330,1324185,54420
2026-05-24,fleet-sweep,claude-opus-4-7,45,18746,1210774,74901
2026-05-24,heartbeat,claude-opus-4-7,21,10832,596836,61716
2026-05-24,heartbeat,claude-opus-4-7,19,13786,478349,52392
2026-05-24,proxmox-capacity,claude-opus-4-7,37,11468,847974,56752
2026-05-24,fleet-sweep,claude-opus-4-7,53,18757,1503241,57655
